Sub-Category,TotalSales,AvgOrderValue,GrowthRate,Volatility,Cluster,PCA1,PCA2
Accessories,164186.7,217.17817460317463,0.34820238203328513,2579.99480907113,0,0.23233131959015968,0.42759943814864937
Appliances,104618.403,227.92680392156865,0.3842502031931825,1821.6215390281989,0,-0.28009269815767684,0.956122059007404
Art,26705.41,34.019630573248406,0.1438220221941069,330.4883427284576,0,-1.6933398052582571,0.42944102883190516
Binders,200028.785,134.0675502680965,0.18352160281574648,3848.2236478754908,2,0.5770682042677279,-0.5852871273134541
Bookcases,113813.1987,503.5982243362832,0.14432388354341263,2220.4050797251753,0,-0.14323863499133155,0.025090273600684
Chairs,322822.73099999997,531.8331647446457,0.06546917388427631,4407.23295981141,2,1.6070273683225031,-1.5594178317638956
Copiers,146248.094,2215.8802121212125,0.7964224309582668,5500.774390527093,1,3.6296749911397272,2.9960317090294595
Envelopes,16128.046,65.03244354838709,-0.04215669531222199,228.21868781596007,0,-1.993168273390791,-0.24788449441334998
Fasteners,3001.96,14.02785046728972,0.09270200162707676,48.74222863268981,0,-1.9968785146599488,0.36046218441909095
Furnishings,89212.018,95.82386466165413,0.2740925872273565,1360.0178672616057,0,-0.787307469561075,0.56965304749971
Labels,12347.726,34.587467787114846,0.10813086097071212,223.47121839221342,0,-1.84861396940635,0.3682788812063469
Machines,189238.631,1645.5533130434783,-0.11122214664455621,5603.5547467397955,2,2.181623537702965,-1.1884968674598875
Paper,76828.304,57.42025710014948,0.24268143912084583,1024.8249818349852,0,-1.0455191915640534,0.5194615455286142
Phones,327782.448,374.1808767123287,0.10672902013362418,4052.71822052082,2,1.4106727815289775,-1.4568845580622571
Storage,219343.392,263.6338846153846,0.11431995662703964,2822.0843101166624,2,0.3359438592331074,-0.8058844214898677
Supplies,46420.308,252.28428260869563,0.036256382385588815,2025.0941389159007,0,-0.921613848224392,-0.16881593344481532
Tables,202810.628,645.8937197452229,0.09993943490652235,3224.0825044607163,2,0.7354303434287079,-0.6394689333243372
